trail_name,location,difficulty,terrain_type,suitable_vehicle_types,skill_level_required,link_to_more_info
Billy Goat Bluff Track,"Alpine National Park, VIC",Hard,"Rocky, steep inclines","Lifted 4WD, Dual Cab",Advanced,https://tracks.4x4earth.com/track/billy-goat-bluff-track/123
Stockton Beach,"Newcastle, NSW",Moderate,Sand dunes,"Stock 4WD, Dual Cab",Intermediate,https://tracks.4x4earth.com/track/stockton-beach/456
Telegraph Track,"Cape York, QLD",Hard,"Mud, river crossings","Lifted 4WD, Dual Cab",Advanced,https://tracks.4x4earth.com/track/telegraph-track/789
Border Track,"Ngarkat Conservation Park, SA",Moderate,"Sand, scrub","Stock 4WD, Dual Cab",Intermediate,https://tracks.4x4earth.com/track/border-track/321
Canning Stock Route,Western Australia,Hard,"Desert, remote","Lifted 4WD, Expedition Vehicle",Advanced,https://tracks.4x4earth.com/track/canning-stock-route/654
Mount Mee Forest Drive,"D'Aguilar National Park, QLD",Easy,Forest trails,Stock 4WD,Beginner,https://tracks.4x4earth.com/track/mount-mee-forest-drive/987
Vic High Country Loop,Victorian High Country,Moderate,"Mountain trails, river crossings","Stock 4WD, Dual Cab",Intermediate,https://tracks.4x4earth.com/track/vic-high-country-loop/159
Fraser Island Inland Tracks,"Fraser Island, QLD",Moderate,"Sand, forest",Stock 4WD,Intermediate,https://tracks.4x4earth.com/track/fraser-island-inland-tracks/753
Bridle Track,"Bathurst, NSW",Easy,"Gravel, river crossings",Stock 4WD,Beginner,https://tracks.4x4earth.com/track/bridle-track/852
Googs Track,"Ceduna to Tarcoola, SA",Hard,"Sand dunes, remote","Lifted 4WD, Expedition Vehicle",Advanced,https://tracks.4x4earth.com/track/googs-track/951
